 Car Make , Car Model   , Year , Body Type , Color Options                 , Fuel Type , Engine Size, Horsepower , Torque , Transmission Type , Acceleration, Top Speed, Mileage , Safety Features                                      , Entertainment Features               , Interior Features                                , Exterior Features                                           , Price, Customer Ratings , Sales Figures
 Nissan   , Frontier    ,2023, Truck     ," Red, Black, Gray              ", Gasoline  ,3.8,310,281, Automatic        , 6.4 seconds           ,120,19," ABS, Airbags, Nissan Safety Shield 360, RearView Monitor      ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Headlights, Bedliner, 17-inch Alloy Wheels            ","28,95", 4.6/5            ,2
 Hyundai  , Venue       ,2023, SUV       ," Black, Gray, White            ", Gasoline  ,1.6,121,113, CVT               , 10.1 seconds          ,115,35," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","20,4", 4.6/5            ,"2,3"
 Genesis  , GV80        ,2023, SUV       ," Gray, White, Black            ", Gasoline  ,2.5,300,311, Automatic        , 6.9 seconds           ,120,25," ABS, Airbags, Forward Collision Avoidance-Assist with Pedestrian Detection ", 14.5-inch Infotainment System    ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels         ","47,7", 4.8/5            ,900
 Chevrolet, Camaro      ,2023, Coupe     ," Red, Black, White             ", Gasoline  ,2,275,295, Automatic        , 5.2 seconds           ,155,23," ABS, Airbags, StabiliTrak Electronic Stability Control       ", 8-inch Infotainment System        ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Rear Spoiler, 18-inch Alloy Wheels        ",25, 4.7/5            ,"1,6"
 Honda    , Fit         ,2023, Hatchback ," Blue, Black, Gray             ", Gasoline  ,1.5,128,139, CVT               , 8.8 seconds           ,115,36," ABS, Airbags, Collision Mitigation Braking System, Road Departure Mitigation ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Daytime Running Lights, 16-inch Alloy Wheels          ","17,6", 4.6/5            ,"2,4"
 Ford     , Maverick    ,2023, Truck     ," Red, Black, Gray              ", Gasoline  ,2.5,191,155, Automatic        , 8.7 seconds           ,130,37," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Taillights, Bedliner, 17-inch Alloy Wheels            ","21,82", 4.8/5            ,"1,7"
 Toyota   , Camry       ,2023, Sedan     ," White, Gray, Black            ", Gasoline  ,2.5,206,186, Automatic        , 8.1 seconds           ,120,39," ABS, Airbags, Toyota Safety Sense 2.5+, Rear Cross Traffic Alert ", 7-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Alloy Wheels, Power Sunroof              ","26,17", 4.7/5            ,"1,6"
 Kia      , Soul        ,2023, Hatchback ," Black, Gray, White            ", Gasoline  ,2,147,132, CVT               , 9.9 seconds           ,115,32," ABS, Airbags, Forward Collision Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","21,49", 4.6/5            ,"2,2"
 Chevrolet, Corvette    ,2023, Convertible ," Red, Black, White          ", Gasoline  ,6.2,490,470, Automatic        , 3.1 seconds           ,190,21," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         ","75,59", 4.9/5            ,1
 Ford     , Explorer    ,2023, SUV       ," Blue, White, Silver           ", Gasoline  ,2.3,300,420, Automatic        , 6.8 seconds           ,130,27," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           ","37,775", 4.8/5            ,"1,8"
 Chevrolet, Bolt EUV    ,2023, SUV       ," Silver, Blue, Black           ", Electric  , N/A             , 200 (est.) , 360 (est.)  , Automatic        , 6.5 seconds           , 120 (est.)     , 110 (est.)    ," ABS, Airbags, HD Rear Vision Camera, Lane Keep Assist with Lane Departure Warning ", 10.2-inch Infotainment Display     ," Cloth Seats, Keyless Entry, Wireless Smartphone Charging "," LED Headlights, Roof Rails, 17-inch Alloy Wheels          ","33,995", 4.9/5            ,900
 Toyota   , Prius       ,2023, Hatchback ," Blue, White, Gray             ", Hybrid    ,1.8, 96 (est.)  , N/A         , CVT               , 10.1 seconds          , 115 (est.)     , 50 (est.)     ," ABS, Airbags, Pre-Collision System, Lane Departure Alert    ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Headlights, 15-inch Alloy Wheels                      ","27,9", 4.7/5            ,"1,2"
 GMC      , Acadia      ,2023, SUV       ," Red, Black, White             ", Gasoline  ,2,228,349, Automatic        , 7.5 seconds           ,130,23," ABS, Airbags, Lane Keep Assist, Rear Cross Traffic Alert ", 8-inch Infotainment System        ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           ","33,9", 4.7/5            ,"1,6"
 Hyundai  , Venue       ,2023, SUV       ," Black, Gray, White            ", Gasoline  ,1.6,121,113, CVT               , 10.1 seconds          ,115,35," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","20,4", 4.6/5            ,"2,3"
 Genesis  , GV80        ,2023, SUV       ," Gray, White, Black            ", Gasoline  ,2.5,300,311, Automatic        , 6.9 seconds           ,120,25," ABS, Airbags, Forward Collision Avoidance-Assist with Pedestrian Detection ", 14.5-inch Infotainment System    ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels         ","47,7", 4.8/5            ,900
 Chevrolet, Camaro      ,2023, Coupe     ," Red, Black, White             ", Gasoline  ,2,275,295, Automatic        , 5.2 seconds           ,155,23," ABS, Airbags, StabiliTrak Electronic Stability Control       ", 8-inch Infotainment System        ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Rear Spoiler, 18-inch Alloy Wheels        ",25, 4.7/5            ,"1,6"
 Honda    , Fit         ,2023, Hatchback ," Blue, Black, Gray             ", Gasoline  ,1.5,128,139, CVT               , 8.8 seconds           ,115,36," ABS, Airbags, Collision Mitigation Braking System, Road Departure Mitigation ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Daytime Running Lights, 16-inch Alloy Wheels          ","17,6", 4.6/5            ,"2,4"
 Ford     , Maverick    ,2023, Truck     ," Red, Black, Gray              ", Gasoline  ,2.5,191,155, Automatic        , 8.7 seconds           ,130,37," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Taillights, Bedliner, 17-inch Alloy Wheels            ","21,82", 4.8/5            ,"1,7"
 Toyota   , Camry       ,2023, Sedan     ," White, Gray, Black            ", Gasoline  ,2.5,206,186, Automatic        , 8.1 seconds           ,120,39," ABS, Airbags, Toyota Safety Sense 2.5+, Rear Cross Traffic Alert ", 7-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Alloy Wheels, Power Sunroof              ","26,17", 4.7/5            ,"1,6"
 Kia      , Soul        ,2023, Hatchback ," Black, Gray, White            ", Gasoline  ,2,147,132, CVT               , 9.9 seconds           ,115,32," ABS, Airbags, Forward Collision Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","21,49", 4.6/5            ,"2,2"
 Chevrolet, Corvette    ,2023, Convertible ," Red, Black, White          ", Gasoline  ,6.2,490,470, Automatic        , 3.1 seconds           ,190,21," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         ","75,59", 4.9/5            ,1
 Ford     , Explorer    ,2023, SUV       ," Blue, White, Silver           ", Gasoline  ,2.3,300,420, Automatic        , 6.8 seconds           ,130,27," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           ","37,775", 4.8/5            ,"1,8"
 Chevrolet, Bolt EUV    ,2023, SUV       ," Silver, Blue, Black           ", Electric  , N/A             , 200 (est.) , 360 (est.)  , Automatic        , 6.5 seconds           , 120 (est.)     , 110 (est.)    ," ABS, Airbags, HD Rear Vision Camera, Lane Keep Assist with Lane Departure Warning ", 10.2-inch Infotainment Display     ," Cloth Seats, Keyless Entry, Wireless Smartphone Charging "," LED Headlights, Roof Rails, 17-inch Alloy Wheels          ","33,995", 4.9/5            ,900
 Toyota   , Prius       ,2023, Hatchback ," Blue, White, Gray             ", Hybrid    ,1.8, 96 (est.)  , N/A         , CVT               , 10.1 seconds          , 115 (est.)     , 50 (est.)     ," ABS, Airbags, Pre-Collision System, Lane Departure Alert    ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Headlights, 15-inch Alloy Wheels                      ","27,9", 4.7/5            ,"1,2"
 GMC      , Acadia      ,2023, SUV       ," Red, Black, White             ", Gasoline  ,2,228,349, Automatic        , 7.5 seconds           ,130,23," ABS, Airbags, Lane Keep Assist, Rear Cross Traffic Alert ", 8-inch Infotainment System        ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           ","33,9", 4.7/5            ,"1,6"
 Hyundai  , Venue       ,2023, SUV       ," Black, Gray, White            ", Gasoline  ,1.6,121,113, CVT               , 10.1 seconds          ,115,35," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","20,4", 4.6/5            ,"2,3"
 Genesis  , GV80        ,2023, SUV       ," Gray, White, Black            ", Gasoline  ,2.5,300,311, Automatic        , 6.9 seconds           ,120,25," ABS, Airbags, Forward Collision Avoidance-Assist with Pedestrian Detection ", 14.5-inch Infotainment System    ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels         ","47,7", 4.8/5            ,900
 Chevrolet, Camaro      ,2023, Coupe     ," Red, Black, White             ", Gasoline  ,2,275,295, Automatic        , 5.2 seconds           ,155,23," ABS, Airbags, StabiliTrak Electronic Stability Control       ", 8-inch Infotainment System        ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Rear Spoiler, 18-inch Alloy Wheels        ",25, 4.7/5            ,"1,6"
 Honda    , Fit         ,2023, Hatchback ," Blue, Black, Gray             ", Gasoline  ,1.5,128,139, CVT               , 8.8 seconds           ,115,36," ABS, Airbags, Collision Mitigation Braking System, Road Departure Mitigation ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Daytime Running Lights, 16-inch Alloy Wheels          ","17,6", 4.6/5            ,"2,4"
 Ford     , Maverick    ,2023, Truck     ," Red, Black, Gray              ", Gasoline  ,2.5,191,155, Automatic        , 8.7 seconds           ,130,37," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Taillights, Bedliner, 17-inch Alloy Wheels            ","21,82", 4.8/5            ,"1,7"
 Toyota   , Camry       ,2023, Sedan     ," White, Gray, Black            ", Gasoline  ,2.5,206,186, Automatic        , 8.1 seconds           ,120,39," ABS, Airbags, Toyota Safety Sense 2.5+, Rear Cross Traffic Alert ", 7-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Alloy Wheels, Power Sunroof              ","26,17", 4.7/5            ,"1,6"
 Kia      , Soul        ,2023, Hatchback ," Black, Gray, White            ", Gasoline  ,2,147,132, CVT               , 9.9 seconds           ,115,32," ABS, Airbags, Forward Collision Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","21,49", 4.6/5            ,"2,2"
 Chevrolet, Corvette    ,2023, Convertible ," Red, Black, White          ", Gasoline  ,6.2,490,470, Automatic        , 3.1 seconds           ,190,21," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         ","75,59", 4.9/5            ,1
 Ford     , Explorer    ,2023, SUV       ," Blue, White, Silver           ", Gasoline  ,2.3,300,420, Automatic        , 6.8 seconds           ,130,27," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           ","37,775", 4.8/5            ,"1,8"
 Chevrolet, Bolt EUV    ,2023, SUV       ," Silver, Blue, Black           ", Electric  , N/A             , 200 (est.) , 360 (est.)  , Automatic        , 6.5 seconds           , 120 (est.)     , 110 (est.)    ," ABS, Airbags, HD Rear Wireless Smartphone Charging "," LED Headlights, Roof Rails, 17-inch Alloy Wheels          ","33,995", 4.9/5            ,900,,
 Toyota   , Prius       ,2023, Hatchback ," Blue, White, Gray             ", Hybrid    ,1.8, 96 (est.)  , N/A         , CVT               , 10.1 seconds          , 115 (est.)     , 50 (est.)     ," ABS, Airbags, Pre-Collision System, Lane Departure Alert    ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Headlights, 15-inch Alloy Wheels                      ","27,9", 4.7/5            ,"1,2"
 GMC      , Acadia      ,2023, SUV       ," Red, Black, White             ", Gasoline  ,2,228,349, Automatic        , 7.5 seconds           ,130,23," ABS, Airbags, Lane Keep Assist, Rear Cross Traffic Alert ", 8-inch Infotainment System        ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           ","33,9", 4.7/5            ,"1,6"
 Hyundai  , Venue       ,2023, SUV       ," Black, Gray, White            ", Gasoline  ,1.6,121,113, CVT               , 10.1 seconds          ,115,35," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","20,4", 4.6/5            ,"2,3"
 Genesis  , GV80        ,2023, SUV       ," Gray, White, Black            ", Gasoline  ,2.5,300,311, Automatic        , 6.9 seconds           ,120,25," ABS, Airbags, Forward Collision Avoidance-Assist with Pedestrian Detection ", 14.5-inch Infotainment System    ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels         ","47,7", 4.8/5            ,900
 Chevrolet, Camaro      ,2023, Coupe     ," Red, Black, White             ", Gasoline  ,2,275,295, Automatic        , 5.2 seconds           ,155,23," ABS, Airbags, StabiliTrak Electronic Stability Control       ", 8-inch Infotainment System        ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Rear Spoiler, 18-inch Alloy Wheels        ",25, 4.7/5            ,"1,6"
 Honda    , Fit         ,2023, Hatchback ," Blue, Black, Gray             ", Gasoline  ,1.5,128,139, CVT               , 8.8 seconds           ,115,36," ABS, Airbags, Collision Mitigation Braking System, Road Departure Mitigation ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Daytime Running Lights, 16-inch Alloy Wheels          ","17,6", 4.6/5            ,"2,4"
 Ford     , Maverick    ,2023, Truck     ," Red, Black, Gray              ", Gasoline  ,2.5,191,155, Automatic        , 8.7 seconds           ,130,37," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Taillights, Bedliner, 17-inch Alloy Wheels            ","21,82", 4.8/5            ,"1,7"
 Toyota   , Camry       ,2023, Sedan     ," White, Gray, Black            ", Gasoline  ,2.5,206,186, Automatic        , 8.1 seconds           ,120,39," ABS, Airbags, Toyota Safety Sense 2.5+, Rear Cross Traffic Alert ", 7-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Alloy Wheels, Power Sunroof              ","26,17", 4.7/5            ,"1,6"
 Kia      , Soul        ,2023, Hatchback ," Black, Gray, White            ", Gasoline  ,2,147,132, CVT               , 9.9 seconds           ,115,32," ABS, Airbags, Forward Collision Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","21,49", 4.6/5            ,"2,2"
 Chevrolet, Corvette    ,2023, Convertible ," Red, Black, White          ", Gasoline  ,6.2,490,470, Automatic        , 3.1 seconds           ,190,21," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         ","75,59", 4.9/5            ,1
 Ford     , Explorer    ,2023, SUV       ," Blue, White, Silver           ", Gasoline  ,2.3,300,420, Automatic        , 6.8 seconds           ,130,27," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           ","37,775", 4.8/5            ,"1,8"
 Chevrolet, Bolt EUV    ,2023, SUV       ," Silver, Blue, Black           ", Electric  , N/A             , 200 (est.) , 360 (est.)  , Automatic        , 6.5 seconds           , 120 (est.)     , 110 (est.)    ," ABS, Airbags, HD Rear Vision Camera, Lane Keep Assist with Lane Departure Warning ", 10.2-inch Infotainment Display     ," Cloth Seats, Keyless Entry, Wireless Smartphone Charging "," LED Headlights, Roof Rails, 17-inch Alloy Wheels          ","33,995", 4.9/5            ,900
 Toyota   , Prius       ,2023, Hatchback ," Blue, White, Gray             ", Hybrid    ,1.8, 96 (est.)  , N/A         , CVT               , 10.1 seconds          , 115 (est.)     , 50 (est.)     ," ABS, Airbags, Pre-Collision System, Lane Departure Alert    ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Headlights, 15-inch Alloy Wheels                      ","27,9", 4.7/5            ,"1,2"
 GMC      , Acadia      ,2023, SUV       ," Red, Black, White             ", Gasoline  ,2,228,349, Automatic        , 7.5 seconds           ,130,23," ABS, Airbags, Lane Keep Assist, Rear Cross Traffic Alert ", 8-inch Infotainment System        ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           ","33,9", 4.7/5            ,"1,6"
 Hyundai  , Venue       ,2023, SUV       ," Black, Gray, White            ", Gasoline  ,1.6,121,113, CVT               , 10.1 seconds          ,115,35," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","20,4", 4.6/5            ,"2,3"
 Genesis  , GV80        ,2023, SUV       ," Gray, White, Black            ", Gasoline  ,2.5,300,311, Automatic        , 6.9 seconds           ,120,25," ABS, Airbags, Forward Collision Avoidance-Assist with Pedestrian Detection ", 14.5-inch Infotainment System    ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels         ","47,7", 4.8/5            ,900
 Chevrolet, Camaro      ,2023, Coupe     ," Red, Black, White             ", Gasoline  ,2,275,295, Automatic        , 5.2 seconds           ,155,23," ABS, Airbags, StabiliTrak Electronic Stability Control       ", 8-inch Infotainment System        ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Rear Spoiler, 18-inch Alloy Wheels        ",25, 4.7/5            ,"1,6"
 Honda    , Fit         ,2023, Hatchback ," Blue, Black, Gray             ", Gasoline  ,1.5,128,139, CVT               , 8.8 seconds           ,115,36," ABS, Airbags, Collision Mitigation Braking System, Road Departure Mitigation ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Daytime Running Lights, 16-inch Alloy Wheels          ","17,6", 4.6/5            ,"2,4"
 Ford     , Maverick    ,2023, Truck     ," Red, Black, Gray              ", Gasoline  ,2.5,191,155, Automatic        , 8.7 seconds           ,130,37," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Taillights, Bedliner, 17-inch Alloy Wheels            ","21,82", 4.8/5            ,"1,7"
 Toyota   , Camry       ,2023, Sedan     ," White, Gray, Black            ", Gasoline  ,2.5,206,186, Automatic        , 8.1 seconds           ,120,39," ABS, Airbags, Toyota Safety Sense 2.5+, Rear Cross Traffic Alert ", 7-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Alloy Wheels, Power Sunroof              ","26,17", 4.7/5            ,"1,6"
 Kia      , Soul        ,2023, Hatchback ," Black, Gray, White            ", Gasoline  ,2,147,132, CVT               , 9.9 seconds           ,115,32," ABS, Airbags, Forward Collision Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","21,49", 4.6/5            ,"2,2"
 Chevrolet, Corvette    ,2023, Convertible ," Red, Black, White          ", Gasoline  ,6.2,490,470, Automatic        , 3.1 seconds           ,190,21," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         ","75,59", 4.9/5            ,1
 Ford     , Explorer    ,2023, SUV       ," Blue, White, Silver           ", Gasoline  ,2.3,300,420, Automatic        , 6.8 seconds           ,130,27," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           ","37,775", 4.8/5            ,"1,8"
 Chevrolet, Bolt EUV    ,2023, SUV       ," Silver, Blue, Black           ", Electric  , N/A             , 200 (est.) , 360 (est.)  , Automatic        , 6.5 seconds           , 120 (est.)     , 110 (est.)    ," ABS, Airbags, HD Rear Vision Camera, Lane Keep Assist with Lane Departure Warning ", 10.2-inch Infotainment Display     ," Cloth Seats, Keyless Entry, Wireless Smartphone Charging "," LED Headlights, Roof Rails, 17-inch Alloy Wheels          ","33,995", 4.9/5            ,900
 Toyota   , Prius       ,2023, Hatchback ," Blue, White, Gray             ", Hybrid    ,1.8, 96 (est.)  , N/A         , CVT               , 10.1 seconds          , 115 (est.)     , 50 (est.)     ," ABS, Airbags, Pre-Collision System, Lane Departure Alert    ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Headlights, 15-inch Alloy Wheels                      ","27,9", 4.7/5            ,"1,2"
 GMC      , Acadia      ,2023, SUV       ," Red, Black, White             ", Gasoline  ,2,228,349, Automatic        , 7.5 seconds           ,130,23," ABS, Airbags, Lane Keep Assist, Rear Cross Traffic Alert ", 8-inch Infotainment System        ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           ","33,9", 4.7/5            ,"1,6"
 Hyundai  , Venue       ,2023, SUV       ," Black, Gray, White            ", Gasoline  ,1.6,121,113, CVT               , 10.1 seconds          ,115,35," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","20,4", 4.6/5            ,"2,3"
 Genesis  , GV80        ,2023, SUV       ," Gray, White, Black            ", Gasoline  ,2.5,300,311, Automatic        , 6.9 seconds           ,120,25," ABS, Airbags, Forward Collision Avoidance-Assist with Pedestrian Detection ", 14.5-inch Infotainment System    ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels         ","47,7", 4.8/5            ,900
 Chevrolet, Camaro      ,2023, Coupe     ," Red, Black, White             ", Gasoline  ,2,275,295, Automatic        , 5.2 seconds           ,155,23," ABS, Airbags, StabiliTrak Electronic Stability Control       ", 8-inch Infotainment System        ," Cloth Seats, Power Driver's Seat, Keyless Entry         "," LED Headlights, Rear Spoiler, 18-inch Alloy Wheels        ",25, 4.7/5            ,"1,6"
 Honda    , Fit         ,2023, Hatchback ," Blue, Black, Gray             ", Gasoline  ,1.5,128,139, CVT               , 8.8 seconds           ,115,36," ABS, Airbags, Collision Mitigation Braking System, Road Departure Mitigation ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Push Button Start            "," LED Daytime Running Lights, 16-inch Alloy Wheels          ","17,6", 4.6/5            ,"2,4"
 Ford     , Maverick    ,2023, Truck     ," Red, Black, Gray              ", Gasoline  ,2.5,191,155, Automatic        , 8.7 seconds           ,130,37," ABS, Airbags, Ford Co-Pilot360, Rear View Camera           ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Mirrors                 "," LED Taillights, Bedliner, 17-inch Alloy Wheels            ","21,82", 4.8/5            ,"1,7"
 Toyota   , Camry       ,2023, Sedan     ," White, Gray, Black            ", Gasoline  ,2.5,206,186, Automatic        , 8.1 seconds           ,120,39," ABS, Airbags, Toyota Safety Sense 2.5+, Rear Cross Traffic Alert ", 7-inch Touchscreen Display        ," Cloth Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Alloy Wheels, Power Sunroof              ","26,17", 4.7/5            ,"1,6"
 Kia      , Soul        ,2023, Hatchback ," Black, Gray, White            ", Gasoline  ,2,147,132, CVT               , 9.9 seconds           ,115,32," ABS, Airbags, Forward Collision Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","21,49", 4.6/5            ,"2,2"
 Chevrolet, Corvette    ,2023, Convertible ," Red, Black, White          ", Gasoline  ,6.2,490,470, Automatic        , 3.1 seconds           ,190,21," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         ","75,59", 4.9/5            ,1
 Ford     , Explorer    ,2023, SUV       ," Blue, White, Silver           ", Gasoline  ,2.3,300,420, Automatic        , 6.8 seconds           ,130,27," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           ","37,775", 4.8/5            ,"1,8"
